Time In,Time Out,Delay,Type
Time In,Time Out,Type,Delay
2014-08-22 16:49:40.488,2014-08-22 16:49:40.468,greeting,0.20000000
2014-08-22 16:49:41.019,2014-08-22 16:49:40.457,newUser,0.562000000
2014-08-22 16:50:20.378,2014-08-22 16:50:20.37,newUser,0.8000000
2014-08-22 16:50:33.291,2014-08-22 16:50:33.287,streamNotify,0.4000000
2014-08-22 16:50:33.572,2014-08-22 16:50:33.571,streamNotify,0.1000000
2014-08-22 16:50:47.463,2014-08-22 16:50:46.458,auido,1.5000000
2014-08-22 16:50:48.461,2014-08-22 16:50:47.458,auido,1.3000000
2014-08-22 16:50:49.461,2014-08-22 16:50:48.458,auido,1.3000000
2014-08-22 16:50:53.314,2014-08-22 16:50:53.299,video,0.15000000
2014-08-22 16:50:53.766,2014-08-22 16:50:53.516,video,0.250000000
2014-08-22 16:50:54.205,2014-08-22 16:50:53.689,video,0.516000000
2014-08-22 16:50:54.624,2014-08-22 16:50:53.868,video,0.756000000
2014-08-22 16:50:55.159,2014-08-22 16:50:54.074,video,1.85000000
2014-08-22 16:50:55.545,2014-08-22 16:50:54.245,video,1.300000000
2014-08-22 16:50:55.943,2014-08-22 16:50:54.447,video,1.496000000
2014-08-22 16:50:56.327,2014-08-22 16:50:54.629,video,1.698000000
2014-08-22 16:50:56.721,2014-08-22 16:50:54.875,video,1.846000000
2014-08-22 16:50:57.129,2014-08-22 16:50:55.08,video,2.49000000
2014-08-22 16:55:22.286,2014-08-22 16:55:22.282,logout,0.4000000
